2026-09-06 03:58:13 | INFO     | dummyjson_test | http_client.py:108 | [POST] https://dummyjson.com/posts/add | attempt=1/3
2026-09-06 03:58:14 | INFO     | dummyjson_test | http_client.py:125 | 响应状态码: 201 | 耗时: 0.134s
2026-09-06 03:58:14 | INFO     | dummyjson_test | keyword_actions.py:154 | 提取字段: id=252
2026-09-06 03:58:14 | INFO     | dummyjson_test | keyword_actions.py:106 | 字段值验证通过: title=开发不会觉得点击成功.
2026-09-06 03:58:14 | INFO     | dummyjson_test | http_client.py:108 | [GET] https://dummyjson.com/posts/1 | attempt=1/3
2026-09-06 03:58:14 | INFO     | dummyjson_test | http_client.py:125 | 响应状态码: 200 | 耗时: 0.134s
2026-09-06 03:58:14 | INFO     | dummyjson_test | keyword_actions.py:106 | 字段值验证通过: id=1
2026-09-06 03:58:14 | INFO     | dummyjson_test | keyword_actions.py:103 | 字段非空验证通过: title
2026-09-06 03:58:14 | INFO     | dummyjson_test | http_client.py:108 | [PUT] https://dummyjson.com/posts/1 | attempt=1/3
2026-09-06 03:58:14 | INFO     | dummyjson_test | http_client.py:125 | 响应状态码: 200 | 耗时: 0.134s
2026-09-06 03:58:14 | INFO     | dummyjson_test | keyword_actions.py:106 | 字段值验证通过: title=Updated
2026-09-06 03:58:14 | INFO     | dummyjson_test | http_client.py:108 | [DELETE] https://dummyjson.com/posts/1 | attempt=1/3
2026-09-06 03:58:14 | INFO     | dummyjson_test | http_client.py:125 | 响应状态码: 200 | 耗时: 0.134s
2026-09-06 03:58:14 | INFO     | dummyjson_test | keyword_actions.py:106 | 字段值验证通过: isDeleted=True
