2026-09-06 03:58:16 | INFO     | dummyjson_test | http_client.py:108 | [POST] https://dummyjson.com/products/add | attempt=1/3
2026-09-06 03:58:17 | INFO     | dummyjson_test | http_client.py:125 | 响应状态码: 201 | 耗时: 0.134s
2026-09-06 03:58:17 | INFO     | dummyjson_test | keyword_actions.py:154 | 提取字段: id=195
2026-09-06 03:58:17 | INFO     | dummyjson_test | keyword_actions.py:106 | 字段值验证通过: title=Test Product 加入
2026-09-06 03:58:17 | INFO     | dummyjson_test | http_client.py:108 | [GET] https://dummyjson.com/products/1 | attempt=1/3
2026-09-06 03:58:17 | INFO     | dummyjson_test | http_client.py:125 | 响应状态码: 200 | 耗时: 0.012s
2026-09-06 03:58:17 | INFO     | dummyjson_test | keyword_actions.py:106 | 字段值验证通过: id=1
2026-09-06 03:58:17 | INFO     | dummyjson_test | keyword_actions.py:103 | 字段非空验证通过: title
2026-09-06 03:58:17 | INFO     | dummyjson_test | http_client.py:108 | [PUT] https://dummyjson.com/products/1 | attempt=1/3
2026-09-06 03:58:17 | INFO     | dummyjson_test | http_client.py:125 | 响应状态码: 200 | 耗时: 0.129s
2026-09-06 03:58:17 | INFO     | dummyjson_test | keyword_actions.py:106 | 字段值验证通过: title=Updated Title
2026-09-06 03:58:17 | INFO     | dummyjson_test | http_client.py:108 | [DELETE] https://dummyjson.com/products/1 | attempt=1/3
2026-09-06 03:58:17 | INFO     | dummyjson_test | http_client.py:125 | 响应状态码: 200 | 耗时: 0.137s
2026-09-06 03:58:17 | INFO     | dummyjson_test | keyword_actions.py:106 | 字段值验证通过: isDeleted=True
