2026-09-13 04:13:26 | INFO     | dummyjson_test | http_client.py:108 | [POST] https://dummyjson.com/todos/add | attempt=1/3
2026-09-13 04:13:27 | INFO     | dummyjson_test | http_client.py:125 | 响应状态码: 201 | 耗时: 0.184s
2026-09-13 04:13:27 | INFO     | dummyjson_test | keyword_actions.py:154 | 提取字段: id=255
2026-09-13 04:13:27 | INFO     | dummyjson_test | keyword_actions.py:106 | 字段值验证通过: todo=一起报告空间组织产品经验企业.
2026-09-13 04:13:27 | INFO     | dummyjson_test | http_client.py:108 | [GET] https://dummyjson.com/todos/1 | attempt=1/3
2026-09-13 04:13:27 | INFO     | dummyjson_test | http_client.py:125 | 响应状态码: 200 | 耗时: 0.184s
2026-09-13 04:13:27 | INFO     | dummyjson_test | keyword_actions.py:106 | 字段值验证通过: id=1
2026-09-13 04:13:27 | INFO     | dummyjson_test | keyword_actions.py:103 | 字段非空验证通过: todo
2026-09-13 04:13:27 | INFO     | dummyjson_test | http_client.py:108 | [PUT] https://dummyjson.com/todos/1 | attempt=1/3
2026-09-13 04:13:27 | INFO     | dummyjson_test | http_client.py:125 | 响应状态码: 200 | 耗时: 0.184s
2026-09-13 04:13:27 | INFO     | dummyjson_test | keyword_actions.py:106 | 字段值验证通过: completed=True
2026-09-13 04:13:27 | INFO     | dummyjson_test | http_client.py:108 | [DELETE] https://dummyjson.com/todos/1 | attempt=1/3
2026-09-13 04:13:27 | INFO     | dummyjson_test | http_client.py:125 | 响应状态码: 200 | 耗时: 0.181s
2026-09-13 04:13:27 | INFO     | dummyjson_test | keyword_actions.py:106 | 字段值验证通过: isDeleted=True
